id,player_name,height,weight,team_id,entry_age
1,Fred VanVleet,183,89,1,23
2,RJ Barrett,198,97,27,20
3,Bones Hyland,188,78,2,22
4,Moses Moody,196,92,13,19
5,Bam Adebayo,206,115,11,21
6,Andrew Wiggins,201,89,13,20
7,Tyrese Maxey,188,90,22,21
8,Kristaps Porziņģis,218,108,15,22
9,Jayson Tatum,203,95,15,20
10,Draymond Green,198,104,13,23
11,Devin Booker,198,93,12,20
12,Devin Vassell,196,90,24,21
13,CJ McCollum,190,86,29,23
14,Nikola Vučević,208,117,3,22
15,Quinndary Weatherspoon,190,92,31,23
16,JaVale McGee,213,122,31,21
17,Kawhi Leonard,201,102,2,22
18,J.R. Smith,198,102,31,19
19,Gary Trent Jr.,196,94,26,20
20,Josh Giddey,203,95,3,20
21,Julius Randle,206,113,20,21
22,Jonathan Kuminga,203,95,13,19
23,Jordan Nwora,203,102,31,22
24,Paolo Banchero,208,113,10,20
25,Kyrie Irving,188,88,25,20
26,Tyler Herro,196,88,11,20
27,Drew Peterson,206,92,15,24
28,Sam Merrill,193,92,19,24
29,Markieff Morris,206,111,25,23
30,Bruce Brown,193,91,27,23
31,Danilo Gallinari,208,105,31,23
32,Dillon Brooks,198,102,1,22
33,Karl-Anthony Towns,213,112,16,21
34,Svi Mykhailiuk,201,92,7,22
35,Paul George,203,99,22,21
36,Pascal Siakam,203,104,4,23
37,Michael Porter Jr.,208,98,14,22
38,Joel Embiid,213,127,22,23
39,Brandon Ingram,203,86,29,20
40,Jeff Green,203,106,1,23
41,Jalen Green,193,80,1,20
42,Axel Toupane,201,89,31,23
43,Jaren Jackson Jr.,208,109,6,20
44,Sam Hauser,203,97,15,25
45,Franz Wagner,208,102,10,21
46,Xavier Tillman Sr.,203,111,15,22
47,Ish Smith,183,79,31,23
48,Khris Middleton,201,100,26,22
49,Jerami Grant,201,95,23,21
50,De'Aaron Fox,190,83,8,21
51,Kyle Kuzma,206,100,21,23
52,Nemanja Bjelica,208,106,31,27
53,Talen Horton-Tucker,193,106,3,19
54,Tobias Harris,203,102,17,20
55,Jeff Dowtin,190,83,22,24
56,Jamal Murray,193,97,14,21
57,Jonas Valančiūnas,211,120,21,21
58,Bradley Beal,193,93,12,20
59,Danny Green,198,97,31,22
60,Dwight Howard,208,120,31,19
61,Torrey Craig,201,100,3,28
62,Vlatko Čančar,203,107,14,24
63,Darius Garland,185,87,19,20
64,Quinn Cook,185,81,31,23
65,John Collins,206,106,7,21
66,Nikola Jokić,211,128,14,21
67,Jordan Poole,193,87,21,21
68,Jordan Walsh,201,92,15,19
69,Jaden Springer,193,92,15,20
70,Jaylen Adams,183,102,31,22
71,Domantas Sabonis,208,108,8,21
72,Evan Mobley,211,97,19,21
73,Alex Caruso,196,84,18,24
74,Davon Reed,196,94,31,26
75,Keldon Johnson,196,99,24,21
76,Desmond Bane,196,97,6,23
77,Donte DiVincenzo,193,92,20,22
78,Pat Connaughton,196,94,26,23
79,Norman Powell,190,97,2,23
80,Christian Wood,203,97,5,22
81,Bennedict Mathurin,198,95,4,20
82,Miles Bridges,201,102,30,22
83,Lamar Stevens,198,104,31,24
84,Bogdan BogdanoviÄ,196,99,9,26
85,Deandre Ayton,213,113,23,21
86,Payton Pritchard,185,88,15,23
87,Zion Williamson,198,128,29,19
88,Dejounte Murray,196,81,29,22
89,Al Horford,206,108,15,22
90,Andre Iguodala,198,97,31,21
91,Jarrett Allen,211,110,19,20
92,Dion Waiters,190,97,31,21
93,Gary Payton II,188,86,13,25
94,Devontae Cacok,201,108,31,23
95,Brook Lopez,216,127,26,21
96,Otto Porter Jr.,203,89,31,20
97,Trae Young,185,74,9,21
98,Rajon Rondo,185,81,31,20
99,Stephen Curry,188,83,13,22
100,Zach Norvell,196,93,31,22
101,Spencer Dinwiddie,196,97,25,22
102,Reggie Jackson,188,94,22,22
103,Jimmy Butler,201,104,11,23
104,Mamadi Diakite,206,103,31,24
105,James Harden,196,99,2,21
106,Jack White,201,102,31,25
107,Malcolm Brogdon,193,103,21,25
108,Rudy Gobert,216,117,20,22
109,Damian Lillard,188,88,26,23
110,Brandon Miller,206,91,30,21
111,Harrison Barnes,203,102,24,21
112,Anthony Edwards,193,102,20,19
113,Donovan Mitchell,190,97,19,22
114,Lauri Markkanen,213,108,7,21
115,Giannis Antetokounmpo,211,109,26,20
116,Alperen Şengün,211,106,1,20
117,Bojan Bogdanović,201,102,28,26
118,Aaron Gordon,203,106,14,20
119,Bryn Forbes,188,92,31,25
120,Kentavious Caldwell-Pope,196,92,10,21
121,Jaylen Brown,198,101,15,21
122,Jeff Teague,190,88,31,21
123,Troy Daniels,193,90,31,22
124,Russell Westbrook,193,90,14,21
125,Myles Turner,211,113,4,20
126,Joe Harris,198,99,31,34
127,Lou Williams,188,79,31,19
128,D.J. Wilson,208,104,31,23
129,Zach LaVine,196,90,3,20
130,Kostas Antetokounmpo,208,90,31,21
131,Juan Toscano-Anderson,198,94,31,27
132,D.J. Augustin,180,83,31,21
133,Bobby Portis,208,113,26,21
134,Derrick White,193,86,15,24
135,LeBron James,206,113,5,20
136,D'Angelo Russell,190,87,28,20
137,Devonte' Graham,185,88,31,24
138,Avery Bradley,190,81,31,20
139,Anthony Davis,208,114,5,20
140,Chris Chiozza,180,79,31,26
141,Thanasis Antetokounmpo,201,99,31,27
142,Dennis Schröder,185,78,13,21
143,Kelly Oubre Jr.,203,92,22,21
144,Shai Gilgeous-Alexander,198,90,18,21
145,DeMar DeRozan,198,99,8,21
146,Saddiq Bey,201,97,21,22
147,Kyle Lowry,183,88,22,21
148,Jared Dudley,198,107,31,22
149,Damion Lee,196,95,12,27
150,Zeke Nnaji,206,108,14,20
151,Kemba Walker,183,83,31,21
152,Kevon Looney,206,100,13,20
153,Chris Paul,183,79,24,21
154,Marcus Morris,203,98,31,23
155,Buddy Hield,193,99,13,25
156,Christian Braun,198,98,14,21
157,P.J. Tucker,196,111,2,27
158,Chet Holmgren,216,96,18,21
159,Elijah Bryant,196,95,31,25
160,Jrue Holiday,193,92,15,20
161,Montrezl Harrell,201,108,31,23
162,Luka Dončić,198,104,25,20
163,Evan Fournier,198,92,31,21
164,Luke Kornet,218,113,15,23
165,Dalano Banton,206,92,23,23
166,Neemias Queta,213,111,15,23
167,Oshae Brissett,201,95,31,22
168,Hassan Whiteside,213,120,31,36
169,Peyton Watson,203,90,14,20
170,Klay Thompson,196,97,25,24
171,Austin Reaves,196,93,5,24
172,Ja Morant,188,78,6,20
173,Jordan Clarkson,190,87,7,23
174,LaMelo Ball,201,81,30,20
175,Kevin Durant,211,108,12,21
176,Tim Hardaway Jr.,196,92,17,22
177,Justin Jackson,203,99,31,23
178,Collin Sexton,190,86,7,20
179,Anfernee Simons,190,82,23,20
180,Terry Rozier,185,86,11,22
181,Rodions Kurucs,206,103,31,20
182,Cade Cunningham,198,99,17,21
183,T.J. Warren,203,99,31,23
184,Jalen Williams,198,99,18,22
185,Mikal Bridges,198,94,16,23
186,Coby White,196,88,3,20
187,Tyrese Haliburton,196,83,4,21
188,DeAndre Jordan,211,120,14,21
189,Victor Wembanyama,221,106,24,20
190,Thomas Bryant,208,112,4,21
191,Jalen Brunson,188,86,16,23
192,JD Davison,185,88,15,21
193,Cam Thomas,193,95,28,21